2 3 2 4 5 2 2 5 2 2 2 6 7 8 5 9 2 10 11 2 12 13 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	2 14 15 2 2 16 2 17 2 18 14 15 5 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 19 20 21 22 23 5 24 2 25 26 27 28 14 21 29 30 14 21 23 5 24 31 2 7 8 3 14 32 2 1 1 1 1 1 1 1	33 8 2 24 31 16 32 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 7 8 5 9 2 10 11 2 12 13 2 14 15 2 2 16 2 17 2 18 14 15 5 2 2 1 1 1 1 1 1 1 1 1 1 1	14 34 2 14 15 29 22 34 2 35 4 36 37 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 38 39 40 41 14 15 29 42 43 44 7 19 45 41 14 46 4 47 2 14 2 2 4 48 2 1 1 1 1 1 1 1 1 1 1 1	7 19 20 21 22 23 5 24 2 25 26 27 28 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 14 48 5 2 2 2 49 50 3 11 26 51 17 2 7 19 52 11 2 2 17 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1	7 19 20 14 23 53 2 5 54 10 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 2 23 16 2 2 2 2 21 22 23 55 24 2 14 56 2 25 2 18 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	21 22 23 2 2 10 57 14 58 14 15 2 16 21 36 59 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 15 10 11 2 14 56 16 21 59 25 36 2 14 38 39 40 41 14 15 29 42 43 44 1 1 1 1 1 1 1 1 1 1 1 1 1	7 19 45 41 14 46 4 47 2 14 2 2 4 48 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
33 8 2 24 31 16 32 14 2 23 16 2 2 2 2 21 22 23 55 24 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	14 56 2 25 2 18 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
21 22 23 2 2 10 57 14 58 14 15 2 16 21 36 59 14 15 2 16 60 2 33 61 22 59 1 1 1 1 1 1 1 1 1 1 1	14 58 14 2 34 36 2 21 22 38 2 2 10 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 14 15 2 2 16 2 17 2 18 14 15 5 2 2 14 34 2 14 15 29 22 34 2 35 4 36 37 2 1 1 1 1 1 1 1 1	62 33 2 14 56 37 63 2 35 2 14 21 29 56 11 64 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 62 65 2 2 66 67 22 23 55 68 14 65 2 69 11 2 70 19 11 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	7 19 2 2 61 2 52 71 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
72 73 74 75 2 2 27 2 7 8 5 76 2 14 60 7 2 2 77 78 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	14 2 33 21 22 21 10 5 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 19 45 41 14 46 4 47 2 14 2 2 4 48 2 7 19 20 21 22 23 5 24 2 25 26 27 28 1 1 1 1 1 1 1 1 1	14 21 29 30 14 21 23 5 24 31 2 7 8 3 14 32 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 34 2 14 15 29 22 34 2 35 4 36 37 2 62 33 2 14 56 37 63 2 35 2 14 21 29 56 11 64 1 1 1 1 1 1 1	72 14 2 14 2 5 2 64 14 2 13 4 5 79 80 81 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 15 2 26 69 11 74 33 61 22 13 16 72 73 74 75 2 2 27 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	7 8 5 76 2 14 60 7 2 2 77 78 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 21 29 30 14 21 23 5 24 31 2 7 8 3 14 32 2 33 8 2 24 31 16 32 1 1 1 1 1 1 1 1 1 1 1 1 1	14 2 23 16 2 2 2 2 21 22 23 55 24 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 35 2 67 2 14 62 65 2 2 66 67 22 23 55 68 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	14 65 2 69 11 2 70 19 11 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 19 20 14 23 53 2 5 54 10 2 2 35 2 67 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	14 62 65 2 2 66 67 22 23 55 68 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 66 61 22 82 14 48 2 2 16 21 36 2 2 16 2 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	22 2 83 79 2 44 8 84 27 11 24 68 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
22 2 83 79 2 44 8 84 27 11 24 68 14 15 10 11 2 14 56 16 21 59 25 36 2 1 1 1 1 1 1 1 1 1 1 1 1	14 38 39 40 41 14 15 29 42 43 44 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 3 2 4 5 2 2 5 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	6 7 8 5 9 2 10 11 2 12 13 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 15 2 16 60 2 33 61 22 59 14 58 14 2 34 36 2 21 22 38 2 2 10 2 1 1 1 1 1 1 1 1 1 1 1 1 1	2 14 23 26 2 27 44 18 2 40 2 8 29 49 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 66 61 22 82 57 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	14 15 2 26 69 11 74 33 61 22 13 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 56 2 25 2 18 2 21 22 23 2 2 10 57 14 58 14 15 2 16 21 36 59 1 1 1 1 1 1 1 1 1 1 1 1 1 1	14 15 2 16 60 2 33 61 22 59 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 8 5 76 2 14 60 7 2 2 77 78 14 2 33 21 22 21 10 5 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	14 48 5 2 14 48 2 17 2 7 85 61 86 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 2 33 21 22 21 10 5 2 14 48 5 2 14 48 2 17 2 7 85 61 86 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	2 14 48 5 2 2 2 49 50 3 11 26 51 17 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
